"text","label_id","label"
"이번엔주문금액읽어줘부탁해","87","read_order_amount"
"이번주문 기준으로 지금 무선 이어폰 검샥해 부탁드립니다 바로","69","search_products"
"바로 지금 바로 결제할게 부탁해 지금","89","submit_payment"
"잠깐 결제 페이지 주문 내용 알려줘 해봐","88","read_payment_order_info"
"지금결재로넘어가","80","click_buy_now"
"급한데 주문 합계 금액 확인해줘 좀","87","read_order_amount"
"상세 주문 정보 확인해줘","91","read_order_detail"
"저녁 식단 요약해줘","0","unknown"
"지금 뜬 검색 목록 설명해줘","75","read_search_results"
"주말식단정리해줘","0","unknown"
"이번엔 선택 버튼눌러줘 먼저","84","select_cart_item"
"이번 주문 기준으로 이번엔 결제 전 주문 내역 확인해줘 부탁드립니다","88","read_payment_order_info"
"이번 주문 기준으로 일단 현재 화면 옵션 알려줘 좀","74","read_current_page_actions"
"지금방금담은거수량이로맞춰줘부탁드립니다","86","adjust_item_quantity"
"자동로긴 해제하고 로과웃해 부탁드립니다","73","click_logout"
"급한데 별점 낮은 리뷰부터 보여줘 해줄래","81","read_reviews"
"옵선별가격 차이 있으면 같이 알려줘 해줘","95","read_option_info"
"주말 수면 기록 체크해줘","0","unknown"
"이번엔전체상픔선택해줘해주이소","84","select_cart_item"
"급한데 더 이상 안 보이게 삭제해줘 좀 지금","94","delete_order_history"
"급한데 옵선 로 변경해줘","78","update_product_option"
"이번엔 전체 선택 해제해줘","85","unselect_cart_item"
"현재 페이지에서 일단 오른쪽에 보이는 상품 선택해 해주세요","76","select_search_result"
"선택버튼 눌러줘 가능해","84","select_cart_item"
"이번 주문 기준으로 이번엔 옵션 그대로 장바구니 담아줘 좀","79","click_add_to_cart"
"현재 페이지에서 지금 후기 좋은 순으로 몇 개만 읽어줘","81","read_reviews"
"지금 화면에서 급한데 지금 결재로 넘어가","80","click_buy_now"
"먼저 이거 장바구니로보내 가능해 지금","79","click_add_to_cart"
"지금 화면에서 이 상픔 옵선 항목 설명해줘 해줄래","95","read_option_info"
"급한데 배송 추적 페이지로 가줘","92","click_track_delivery"
"받는사람 주소 상픔정보읽어주라","88","read_payment_order_info"
"이번주문기준으로지금고를수있는옵선정리해줘부탁해","95","read_option_info"
"방금본상품기준으로이번엔지금검색결과몇개인지랑같이읽어줘가능해","75","read_search_results"
"이번주문 기준으로 먼저 결제 진행 버튼 눌러","89","submit_payment"
"내일 운동 계획 확인해줘","0","unknown"
"현재 페이지에서 지금 일인용 전기포트 검색해 좀 부탁","69","search_products"
"사이즈를 이 칠 영으로 바꿔줘 부탁해 부탁","78","update_product_option"
"다음 주 버스 시간 확인해줘","0","unknown"
"이번 주문 기준으로 결제 단계 마무리해주이소","89","submit_payment"
"최근주문내역보게이동해줘먼저","70","click_order_history"
"현재 페이지에서 일단 체크된 거 풀어줘 해주세요","85","unselect_cart_item"
"바로 결재 진행 버튼 눌러","89","submit_payment"
"방금 본 상품 기준으로 내가 내야 할 돈 얼마인지 말해줘 해줄래 지금","87","read_order_amount"
"선택 안 된 상품 선택해주이소 먼저","84","select_cart_item"
"현재 페이지에서 급한데 택배 조회 화면 열어줘","92","click_track_delivery"
"이번 주문 기준으로 일단 배송 단계 확인해줘","92","click_track_delivery"
"지금 화면에서 급한데 하트 버튼 눌러줘","82","click_wishlist"
"이번 주문 기준으로 바로 결재할 총액 읽어줘","87","read_order_amount"
"지금 화면에서 검색된 제품 이름만 읽어줘 해줘","75","read_search_results"
"지금 화면에서 이번엔 결재 진행 버튼 눌러 해줄래 지금","89","submit_payment"
"전체 선택 해제해주이소 해줄래","85","unselect_cart_item"
"현재 페이지에서 이 주문 건 교환해줘 해봐","93","request_exchange_return"
"급한데 카트로 바로 가 부탁해","71","click_cart"
"쿠팡 계정 로긴해줘 해줄래 지금","72","click_login"
"이번엔 옵션 빨간색으로 바꿔줘 해주세요","78","update_product_option"
"주문 금액 읽어줘 가능해","87","read_order_amount"
"히어비로 되돌아가","68","go_hearbe"
"이 상픔 카트에 넣어줘 부탁해","79","click_add_to_cart"
"방금본상품기준으로이상품즉시주문할래좀","80","click_buy_now"
"일단 오른쪽에 보이는 상품 선택해 해주이소","76","select_search_result"
"지금 화면에서 급한데 주문 기록 삭제 버튼 눌러줘 부탁해 해주이소","94","delete_order_history"
"배송 추적 페이지로 가줘","92","click_track_delivery"
"나중에 살 거로 표시해줘 해줘 바로","82","click_wishlist"
"이번엔 아기 물티슈 찾아줘 부탁해","69","search_products"
"옵션 빨간색으로 바꿔줘 부탁드립니다","78","update_product_option"
"선택 가능한 옵션만 알려줘","95","read_option_info"
"이번엔 주문 확정하고 결재해줘 지금","89","submit_payment"
"지금 내가 내야 할 돈 얼마인지 말해줘","87","read_order_amount"
"급한데 원래 히어비화면으로 돌아가자 해주세요 해주이소","68","go_hearbe"
"바로 찜상태로 바꿔줘 부탁해 지금","82","click_wishlist"
"지금화면에서급한데장바구니목록으로이동해주세요","71","click_cart"
"이번 주문 기준으로 먼저 배송 단계 확인해줘 좀 부탁","92","click_track_delivery"
"현재 페이지에서 이번엔 로그아웃 처리해줘 해주세요","73","click_logout"
"일단 결과 리스트 간단히말해줘","75","read_search_results"
"이번 주문 기준으로 지금 리뷰에서 단점 위주로 알려줘","81","read_reviews"
"지금 식단 체크해줘","0","unknown"
"방금 본 상품 기준으로 이번엔 선택된 것들 다 풀어줘","85","unselect_cart_item"
"이번엔검색된상품목록확인해줘해줄래","75","read_search_results"
"방금 본 상품 기준으로급한데 이 주문의 금액 배송정보 읽어줘 해줘","91","read_order_detail"
"지금 화면에서 지금 선택한 옵선 취소하고 새로 선택해주세요 해주세요 바로","78","update_product_option"
"방금 본 상품 기준으로 먼저 용량 일 옵션으로 바꿔","78","update_product_option"
"바로 주문 정보 읽어줘","88","read_payment_order_info"
"결제 페이지 주문 내용 알려줘 먼저","88","read_payment_order_info"
"급한데내주문리스트로이동지금","70","click_order_history"
"바로이주문기록지워줘해주세요","94","delete_order_history"
"다음 주 날씨 계산해줘","0","unknown"
"고양이사료검색해봐먼저","69","search_products"
"급한데 담긴 물건 확인하자 해주세요","71","click_cart"
"선풍기 검색 결과 보여줘 해주이소","69","search_products"
"이번 주문 기준으로 잠깐 이거 찜 목록에 담아","82","click_wishlist"
"방금 본 상품기준으로 잠깐 특정 상품만 골라줘","84","select_cart_item"
"빠른구매로 진행해줘 해줄래 바로","80","click_buy_now"
"지금 바로 결제 화면 가자 부탁드립니다","80","click_buy_now"
"이번 주문 기준으로 잠깐 상품 개수 마이너스 일 해줘","86","adjust_item_quantity"
"방금본상품기준으로최근주문내역보게이동해줘해줄래","70","click_order_history"
"오후 공부 계획 체크해줘","0","unknown"
"급한데 주문 상세 정보 읽어줘 부탁드립니다","91","read_order_detail"
"급한데 배송 추적 페이지로 가줘 부탁드립니다","92","click_track_delivery"
"현재 페이지에서 지금 내역에서 이 건 삭제해줘","94","delete_order_history"
"현재 페이지에서여기서 로가웃할게 가능해 먼저","73","click_logout"
"지금 화면에서 이 주문 건 교환해줘 가능해","93","request_exchange_return"
"같은 상품 장바구니에 추가해 해주세요","79","click_add_to_cart"
"먼저 이거 바로 살게","80","click_buy_now"
"장바꾸니 탭 눌러줘 해줄래 먼저","71","click_cart"
"현재 페이지에서 급한데 수랑 하나 늘려줘 부탁드립니다 먼저","86","adjust_item_quantity"
"검색 결과 중 할인붙은 거 골라줘 좀 먼저","76","select_search_result"
"이번 주문 기준으로 급한데 방금 담은 거 수량 이로 맞춰줘 가능해 해주이소","86","adjust_item_quantity"
"지금 내가 시킨 것들 보이는 페이지로 가 가능해","70","click_order_history"
"현재페이지에서별점낮은리부부터보여줘","81","read_reviews"
"방금 본 상품 기준으로 바로 상품 요약해줘 해주세요","77","read_product_info"
"바로 휴지 제일 많이 사는 거 검색해줘 부탁드립니다","69","search_products"
"장바구니 탭 눌러줘 가능해","71","click_cart"
"급한데 이 물건 주문 대상으로 선택해 가능해 해봐","84","select_cart_item"
"이번 주문 기준으로 계정 연결 끊어줘","73","click_logout"
"잠깐 옵션 그대로 장바구니 담아줘 바로","79","click_add_to_cart"
"잠깐 주문 히스토리에서 빼줘 해주세요","94","delete_order_history"
"잠깐 이 상품 정보 읽어줘 가능해 해주이소","77","read_product_info"
"상품 상세 설명알려줘","77","read_product_info"
"바로 리부 읽어줘 가능해 바로","81","read_reviews"
"급한데 히어비로 되돌아가 해주세요","68","go_hearbe"
"이번 주문 기준으로 여기서히어비로 이동해줘","68","go_hearbe"
"지금 총 주문 금액 보여줘 해주세요 지금","87","read_order_amount"
"오늘 공부 계획 정리해줘","0","unknown"
"지금 화면에서 일단 장바구니 내용 확인해줘 해줘","83","read_cart_items"
"현재 페이지에서 히어비 홈으로 바로 이동 해줘","68","go_hearbe"
"잠깐상픔금액 플러스 배송비합계알려줘해줄래","87","read_order_amount"
"지금 화면에서 이대로 결재 확정해줘","89","submit_payment"
"지금 화면에서 장바구니 페이지 열기 부탁드립니다","71","click_cart"
"일단 담아둔 상품 보러 가 해줄래 먼저","71","click_cart"
"일단 이거 찜 목록에 담아 해주세요","82","click_wishlist"
"현재 페이지에서 바로 일단 찜해둘게 먼저","82","click_wishlist"
"바로 옵선 리스트 위에서부터 읽어줘가능해 해주이소","95","read_option_info"
"현재 페이지에서 일단 지금 장바구니 화면 보여줘","71","click_cart"
"지금위시리스트에추가해","82","click_wishlist"
"이번엔 검샥 결과에서 두 번째 거 선택해줘 좀 먼저","76","select_search_result"
"급한데 주문 상세 페이지 내용 읽어줘","91","read_order_detail"
"다시 히어비 메인으로 가자","68","go_hearbe"
"급한데 이 주문 건 자세히 알려줘 부탁드립니다 해봐","91","read_order_detail"
"이번주문기준으로지금이거말고다른색상있는지검샥해줘해주세요","69","search_products"
"잠깐색상 사이즈옵션읽어줘부탁드립니다","95","read_option_info"
"이번 주문 기준으로 지금 주문 상세 내역 설명해줘 해줄래","91","read_order_detail"
"선택한상품해제해줘","85","unselect_cart_item"
"지금 화면에서 이번엔 상품명 가격 로켓배송 여부 알려줘 해봐","77","read_product_info"
"현재 페이지에서 일단 검색 목록에서 이거 눌러","76","select_search_result"
"장바꾸니 열어줘 해주세요","71","click_cart"
"최근 주문내역 보게 이동해줘 먼저","70","click_order_history"
"이번 주문 기준으로 담아둔 상픔 보러 가 부탁드립니다 해주이소","71","click_cart"
"현재 페이지에서 급한데 지금 바로 결제 화면 가자 부탁","80","click_buy_now"
"현재 페이지에서 이번엔 이 상픔 체크 해제해주라 부탁드립니다","85","unselect_cart_item"
"개수 삼으로 조절해줘 바로","86","adjust_item_quantity"
"이번엔 결제 전 주문 내역 확인해줘","88","read_payment_order_info"
"지금 화면에서 옵션에서 블랙 선택해줘","78","update_product_option"
"로그인 창 띄워줘 가능해","72","click_login"
