"label","train","test","total"
"adjust_item_quantity","240","60","300"
"click_add_to_cart","240","60","300"
"click_buy_now","240","60","300"
"click_cart","240","60","300"
"click_login","240","60","300"
"click_logout","240","60","300"
"click_order_history","240","60","300"
"click_track_delivery","240","60","300"
"click_wishlist","240","60","300"
"delete_order_history","240","60","300"
"go_hearbe","240","60","300"
"read_cart_items","240","60","300"
"read_current_page_actions","240","60","300"
"read_option_info","240","60","300"
"read_order_amount","240","60","300"
"read_order_detail","240","60","300"
"read_payment_order_info","240","60","300"
"read_product_info","240","60","300"
"read_reviews","240","60","300"
"read_search_results","240","60","300"
"request_exchange_return","240","60","300"
"search_products","240","60","300"
"select_cart_item","240","60","300"
"select_search_result","240","60","300"
"submit_payment","240","60","300"
"unknown","360","90","450"
"unselect_cart_item","240","60","300"
"update_product_option","240","60","300"
