"label","train","test","total"
"check_keep_login","176","44","220"
"check_terms_agreement","176","44","220"
"click_app_download","176","44","220"
"click_cart","176","44","220"
"click_change_password","176","44","220"
"click_check_id_duplicate","176","44","220"
"click_delete_account","176","44","220"
"click_find_id","176","44","220"
"click_find_password","176","44","220"
"click_go_coupang","176","44","220"
"click_login","176","44","220"
"click_logout","176","44","220"
"click_my_page","176","44","220"
"click_order_detail","176","44","220"
"click_product_view","176","44","220"
"click_shared_shopping_entry","176","44","220"
"click_signup","176","44","220"
"click_view_terms","176","44","220"
"go_coupang","176","44","220"
"go_hearbe","176","44","220"
"go_mall","176","44","220"
"input_email","176","44","220"
"input_id","176","44","220"
"input_name","176","44","220"
"input_password","176","44","220"
"input_password_confirm","176","44","220"
"input_phone_number","176","44","220"
"read_available_marketplaces","176","44","220"
"read_current_page_actions","176","44","220"
"read_hearbe_guide","176","44","220"
"read_page","176","44","220"
"read_terms","176","44","220"
"submit_signup","176","44","220"
"uncheck_keep_login","176","44","220"
"unknown","598","150","748"
