"text","label_id","label"
"좀 지금 전화번호 입력해?","26","input_phone_number"
"바로 회원가입 페이지 화면에서 이름 작성해줘?","21","input_name"
"지금 로그인 버튼 눌러줘 가능해?","16","click_login"
"지금 회원가입 화면인데 로그인 페이지 화면에서 비밀 번호 찾기 열어줘","18","click_find_password"
"이번에 내 구매 빈도 높은 상품 읽어줘","41","read_frequent_products"
"좀 회원가입 페이지에서 이용 약관 동의 체크해줘","24","check_terms_agreement"
"이번에 내 구매 빈도 높은 상품 읽어줘!!","41","read_frequent_products"
"지금 회원가입 제출 해줄래?","25","submit_signup"
"지금 주문내역 보고 있는데 쇼핑몰 가","8","go_mall"
"일단 지금 회원가입 페이지인데 비밀번호 확인값 넣어줘 해줄래?","27","input_password_confirm"
"퇴근후알람설명해줘","0","unknown"
"지금 자주 산 물건들 말해줘","41","read_frequent_products"
"회원가입 페이지 화면에서 비밀번호 확인 칸에 적어 해줄래?","27","input_password_confirm"
"오늘 낮잠 하기 싫다","0","unknown"
"지금 로그인 화면인데 회원가입 페이지 보고 있는데, 회원가입 제출해줘","25","submit_signup"
"지금 쇼핑 화면인데 앱 다운로드 버튼 진행해","11","click_app_download"
"지금 장바구니 보고 있는데 쇼핑몰 페이지 화면에서 쿠팡 이동 클릭해줘","31","click_go_coupang"
"빨리 내 구매 빈도 높은 상품 읽어줘 해봐","41","read_frequent_products"
"로그아웃 실행해 해?","30","click_logout"
"지금 장바구니 보고 있는데 체크 꺼 해봐","15","uncheck_keep_login"
"지금 메인 화면인데 로그인 페이지인데 비밀번호 재설정 페이지로 가줘","18","click_find_password"
"지금 쇼핑 화면인데 회웝가입 마무리해","25","submit_signup"
"지금 장바구니 보고 있는데 가능한 쇼핑몰 읽어주세요","29","read_available_marketplaces"
"내가 뭐샀멘","39","go_order_history"
"바로 이름 작성해줘","21","input_name"
"로긴 페이지 화면에서 히어비 가이드 읽어","7","read_hearbe_guide"
"지금 주문내역 보고 있는데 장바구니 담아","32","click_cart"
"성함 입력해 해?","21","input_name"
"바로 가입 끝내 해","25","submit_signup"
"지금 장바구니 보고 있는데 바로 장바고니에 추가해","32","click_cart"
"다시 구매 천 상품 알려줘 해봐!!","42","read_recommended_products"
"좀 로그인 상태 유지로 바꿔줘 해줘","14","check_keep_login"
"일단 체크해?","14","check_keep_login"
"이용약관읽기","23","read_terms"
"지금 로그인 화면인데 로그인 페이지에서 히어비 소개해줘?","7","read_hearbe_guide"
"지금 히어비 홈에 와 있어, 공유 쇼핑 들어가줘 해봐","10","click_shared_shopping_entry"
"지금 회원가입으로 이동해 해줘","19","click_signup"
"지금 주문목록 메뉴로 들어가?","39","go_order_history"
"지금 회원가입 화면인데 로그인 페이지 화면에서 회원가입 시작해","19","click_signup"
"먼저 구매 추천 상품 알려줘 해줘","42","read_recommended_products"
"지금 내 정보 페이지 보여줘?","33","click_my_page"
"바로 비밀번호 확인 입력","27","input_password_confirm"
"좀 비번호 확인 적어","27","input_password_confirm"
"지금 메인 화면인데 이름 적어","21","input_name"
"일단 주문내역 페이지 화면에서 주문 상세 화면으로 가 해줄래?","37","click_order_detail"
"바로 지금 회원가입 페이지 보고 있는데, 이용약관 동의 체크해줘","24","check_terms_agreement"
"일단 화면 내용 읽어 해줄래?","34","read_page"
"먼저 주문조회하는화면으로이동 해봐!","39","go_order_history"
"지금 장바구니 보고 있는데 지금 회원가입 페이지인데 이메일 작성해줘?","28","input_email"
"지금 로그인 화면인데 지금 로그인 페이지 보고 있는데, 로그인 유지 체크해줘?","14","check_keep_login"
"바로 지금 회웝가입 들어가 해줄래?","19","click_signup"
"지금 아이디 중복 확인해줘","20","click_check_id_duplicate"
"좀 이용약관 화면 보여주세요?","22","click_view_terms"
"지금 주문내역 보고 있는데 로그인 페이지에서 회원가 입 진행해줘","19","click_signup"
"지금 쇼핑 화면인데 쇼핑몰 화면 열어주세요 해봐","8","go_mall"
"바로 비밀번호 찾기 눌러 해줄래?","18","click_find_password"
"바로 아이디 중복 확인 들어가 해봐","20","click_check_id_duplicate"
"지금 로그인 화면인데 아뒤 값 넣어 가능?","12","input_id"
"좀 히어비 사용법 알려줘?","7","read_hearbe_guide"
"지금 회원가입 화면인데 아이디 찾기 들어가?","17","click_find_id"
"바로그인 유지 체크 해제 해","15","uncheck_keep_login"
"히어브 메인 페이지에서 쿠팡 접속해줘?","5","go_coupang"
"좀 지금 화면 읽어줘 해봐","34","read_page"
"오늘 가장 많이 산 상품부터 알려줘","41","read_frequent_products"
"바로 지금 로긴 들어가 해봐","16","click_login"
"바로 회웝가입 버튼 눌러줘 가능해?","19","click_signup"
"지금 회원가입 화면인데 현재 페이지 정보 및 가능한 작업 말해줘","6","read_current_page_actions"
"로긴 페이지 화면에서 아뒤 찾기 진행해줘","17","click_find_id"
"좀 가능한 쇼핑몰 요약해 가능?","29","read_available_marketplaces"
"지금 로그인 화면인데 지금 장바구니 페이지 보고 있는데, 현재 페이지 읽어줘?","34","read_page"
"빨리 추천 상품들 설명해줘!!","42","read_recommended_products"
"바로 지금 이용 약관 화면 보여줘 해줄래?","22","click_view_terms"
"일단 쇼핑몰 접속해주세요 해","8","go_mall"
"지금 메인 화면인데 지금 회원정보 페이지인데 탈퇴 메뉴 열어","36","click_delete_account"
"좀 이름 칸에 적어주세요 해줄래?","21","input_name"
"일단 지금 메인 페이지인데 공유 쇼핑 시작해줘","10","click_shared_shopping_entry"
"일단 회원가입 페이지에서 전화번호 작성해줘","26","input_phone_number"
"일단 로그인 유지 체크 해줘","14","check_keep_login"
"일단 장바구니 페이지 보고 있는데, 현재 페이지 읽어줘 해줄래?","34","read_page"
"히어브 가이드 읽어주세요?","7","read_hearbe_guide"
"지금 로그인 화면인데 쇼핑몰 페이지 화면에서 쿠팡 이동 클릭해줘?","31","click_go_coupang"
"지금 회원가입 화면인데 히어비 홈에서 쇼핑몰 접속해줘","8","go_mall"
"바로 마이페이지","33","click_my_page"
"지금 주문내역 보고 있는데 쇼핑몰 들어가 해봐","8","go_mall"
"지금 장바구니 보고 있는데 로긴 유지 선택해줘","14","check_keep_login"
"회원가입 페이지에서 이영약관 보기 눌러줘 해봐","22","click_view_terms"
"바로 지금 마이페이지 눌러","33","click_my_page"
"바로 아이디 써 해","12","input_id"
"바로 현재 페이지 정보 및 가능한 작업 뭐야 해줘","6","read_current_page_actions"
"일단 회원가입 제출해 가능?","25","submit_signup"
"체크 끄기 가능?","15","uncheck_keep_login"
"지금 메인 화면인데 지금 상품조회 들어가","38","click_product_view"
"지금 주문내역 보고 있는데 회원가입 페이지에서 성함 입력해?","21","input_name"
"지금 로그인 페이지인데 로그인 실행해?","16","click_login"
"지금 회원가입 화면인데 네이버 쇼핑 페이지에서 히어비 접속해줘","4","go_hearbe"
"일단 회원가입 페이지에서 아이디 입력해줄래?","12","input_id"
"지금 주문내역 보고 있는데 로그인 페이지 화면에서 회원가입 버튼 눌러","19","click_signup"
"일단 지금 회원가입 페이지인데 이영약관 화면 보여줘?","22","click_view_terms"
"지금메일주소넣어","28","input_email"
"먼저 주문목록 페이지로 가!!","39","go_order_history"
"일단 지금 회원가입 페이지 보고 있는데, 이용약관 보기 눌러줘 해봐","22","click_view_terms"
"회원가입 페이지 화면에서 비밀번호 확인 칸에 적어줘 해줄래?","27","input_password_confirm"
"지금 회원가입 화면인데 가능한 쇼핑몰 읽기 할래?","29","read_available_marketplaces"
"좀 최근 주문 요약해줘","40","read_order_history_recent"
"바로 비번호 찾기 열어","18","click_find_password"
"지금 회원가입 화면인데 쿠팡으로 이동해 해?","31","click_go_coupang"
"일단 히어비로 이동해주세요 해","4","go_hearbe"
"지금 로그인 페이지 화면에서 자동 로긴 체크 풀어줘 해봐","15","uncheck_keep_login"
"지금 회원가입 화면인데 회원가입 페이지 화면에서 이름 작성해줘?","21","input_name"
"좀 주문내역 페이지에서 쿠팡 페이지 열어?","5","go_coupang"
"바로그아웃해 해봐","30","click_logout"
"지금 바로 주문 상세 조회 열어 해봐","37","click_order_detail"
"바로 약관 동의 체크박스 눌러 해줄래?","24","check_terms_agreement"
"지금 이용약관 요약해?","23","read_terms"
"좀 비밀 번호 작성해주세요","13","input_password"
"바로그인 페이지에서 회원가입 진행해","19","click_signup"
"바로 지금 비번호 값 넣어","13","input_password"
"지금 메인 화면인데 회원가입 페이지에서 아이디 중복 검사해줘","20","click_check_id_duplicate"
"일단 살 만한 추천 상품 알려줘","42","read_recommended_products"
"바로 지금 쇼핑몰 페이지 보고 있는데, 로가웃 눌러줘 해","30","click_logout"
"지금 장바구니 보고 있는데 쇼핑몰 페이지에서 가능한 쇼핑몰 읽어","29","read_available_marketplaces"
"지금 메인 화면인데 로그인 페이지 화면에서 회웝가입 버튼 눌러줘","19","click_signup"
"로그인 페이지에서 로그인 상태 유지로 바꿔줘","14","check_keep_login"
"좀 지금 화면 읽어줘 해줘","7","read_hearbe_guide"
"내가 뭐샀노? 해봐","39","go_order_history"
"일단 주문 상세 조회 진행해?","37","click_order_detail"
"지금 장바구니 보고 있는데 비밀번호 확인 칸에 적어줘","27","input_password_confirm"
"좀 현재 페이지 정보 및 가능한 작업 뭐야 해","6","read_current_page_actions"
"일단 바로 비번호 찾기 눌러 해줄래?","18","click_find_password"
"지금 메인 화면인데 히어비 메인 페이지 화면에서 히어비 서비스 설명해","7","read_hearbe_guide"
"지금 처음 페이지로 돌아가 해봐","4","go_hearbe"
"지금 바로 아뒤 중복 확인 눌러","20","click_check_id_duplicate"
"일단 지금 메인 페이지인데 쇼핑몰 페이지로 넘어가 해","8","go_mall"
"바로 쇼핑몰 페이지 화면에서 내 정보 페이지 보여줘 해줄래?","33","click_my_page"
"지금 로그인 화면인데 바로 마이페이지","33","click_my_page"
"지금 아뒤 써 가능?","12","input_id"
"일단 로그인 페이지에서 로그인 버튼 눌러줘 해줘","16","click_login"
"지금 주문내역 보고 있는데 이용약관 보기 들어가 가능?","22","click_view_terms"
"일단 로그인 페이지 화면에서 로긴 유지 켜줘 해줘","14","check_keep_login"
"지금 주문내역 보고 있는데 가능한 쇼핑몰 뭐야 가능?","29","read_available_marketplaces"
"지금 장바구니 보고 있는데 회원탈퇴 열어","36","click_delete_account"
"바로 회원가입 페이지에서 약관 내용 읽어 해줄래?","23","read_terms"
"좀쿠팡으로넘어가","5","go_coupang"
"당장 요즘 내가 산 주문내역 알려줘 해줘","40","read_order_history_recent"
"바로그인 페이지 화면에서 쇼핑몰로 가 해봐","8","go_mall"
"지금 회원정보 페이지에서 지금 화면 내용 읽어줘 해줄래?","34","read_page"
"지금 주문내역 보고 있는데 좀 회원가입 등록해줘?","25","submit_signup"
"바로 쇼핑몰 페이지 화면에서 내 정보 페이지 보여 해","33","click_my_page"
"일단 좀 아뒤 칸에 적어줘 해","12","input_id"
"지금 쇼핑 화면인데 지금 아이디 중복 확인해","20","click_check_id_duplicate"
"지금 로그인 화면인데 로그인 페이지 화면에서 히어비 가이드 읽어줘","7","read_hearbe_guide"
"지금 좀 현재 페이지 읽어","34","read_page"
"지금 로그인 화면인데 로그인 페이지에서 아뒤 찾기 진행해줘","17","click_find_id"
"로긴 페이지 화면에서 로긴 처리해줘?","16","click_login"
"지금 메인 화면인데 가능한 쇼핑몰 요약해 해봐","29","read_available_marketplaces"
"일단 회원가입 페이지에서 약관 동의 체크박스 눌러?","24","check_terms_agreement"
